timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1776962914911,1008,Home,200,,Thread-Gruppe 1-2,text,true,,9118,148,3,3,http://localhost:8080/tools.descartes.teastore.webui/,1004,0,1
1776962912233,3686,Home,200,,Thread-Gruppe 1-1,text,true,,9118,148,3,3,http://localhost:8080/tools.descartes.teastore.webui/,3682,0,8
1776962917035,65,Home,200,,Thread-Gruppe 1-3,text,true,,9118,148,3,3,http://localhost:8080/tools.descartes.teastore.webui/,65,0,1
1776962917647,259,Login,200,,Thread-Gruppe 1-1,text,true,,10448,1022,3,3,http://localhost:8080/tools.descartes.teastore.webui/,183,0,0
1776962917647,183,Login-0,302,,Thread-Gruppe 1-1,,true,,803,276,3,3,http://localhost:8080/tools.descartes.teastore.webui/loginAction,183,0,0
1776962917834,72,Login-1,200,,Thread-Gruppe 1-1,text,true,,9645,746,3,3,http://localhost:8080/tools.descartes.teastore.webui/,71,0,0
1776962917966,77,Login,200,,Thread-Gruppe 1-2,text,true,,10448,1022,3,3,http://localhost:8080/tools.descartes.teastore.webui/,43,0,0
1776962917966,43,Login-0,302,,Thread-Gruppe 1-2,,true,,803,276,3,3,http://localhost:8080/tools.descartes.teastore.webui/loginAction,43,0,0
1776962918009,34,Login-1,200,,Thread-Gruppe 1-2,text,true,,9645,746,3,3,http://localhost:8080/tools.descartes.teastore.webui/,34,0,0
1776962919560,76,Login,200,,Thread-Gruppe 1-3,text,true,,10449,1023,4,4,http://localhost:8080/tools.descartes.teastore.webui/,45,0,0
1776962919560,45,Login-0,302,,Thread-Gruppe 1-3,,true,,804,276,4,4,http://localhost:8080/tools.descartes.teastore.webui/loginAction,45,0,0
1776962919605,31,Login-1,200,,Thread-Gruppe 1-3,text,true,,9645,747,4,4,http://localhost:8080/tools.descartes.teastore.webui/,31,0,0
1776962921213,40,Home,200,,Thread-Gruppe 1-4,text,true,,9118,148,4,4,http://localhost:8080/tools.descartes.teastore.webui/,39,0,1
1776962920099,1841,List Products,200,,Thread-Gruppe 1-1,text,true,,98521,772,5,5,http://localhost:8080/tools.descartes.teastore.webui/category?category=2&page=1,1804,0,0
1776962920422,1518,List Products,200,,Thread-Gruppe 1-2,text,true,,105755,772,5,5,http://localhost:8080/tools.descartes.teastore.webui/category?category=3&page=1,1481,0,0
1776962922519,104,List Products,200,,Thread-Gruppe 1-3,text,true,,105755,773,5,5,http://localhost:8080/tools.descartes.teastore.webui/category?category=3&page=1,94,0,0
1776962923415,33,Home,200,,Thread-Gruppe 1-5,text,true,,9118,148,5,5,http://localhost:8080/tools.descartes.teastore.webui/,33,0,1
1776962924042,76,Login,200,,Thread-Gruppe 1-4,text,true,,10449,1023,5,5,http://localhost:8080/tools.descartes.teastore.webui/,32,0,0
1776962924042,32,Login-0,302,,Thread-Gruppe 1-4,,true,,804,276,5,5,http://localhost:8080/tools.descartes.teastore.webui/loginAction,32,0,0
1776962924075,43,Login-1,200,,Thread-Gruppe 1-4,text,true,,9645,747,5,5,http://localhost:8080/tools.descartes.teastore.webui/,42,0,0
1776962923461,1483,Look at Product,200,,Thread-Gruppe 1-1,text,true,,99008,759,6,6,http://localhost:8080/tools.descartes.teastore.webui/product?id=16,1438,0,0
1776962924741,270,Look at Product,200,,Thread-Gruppe 1-2,text,true,,87389,760,6,6,http://localhost:8080/tools.descartes.teastore.webui/product?id=122,269,0,0
1776962925044,45,Login,200,,Thread-Gruppe 1-5,text,true,,10448,1022,6,6,http://localhost:8080/tools.descartes.teastore.webui/,23,0,0
1776962925044,23,Login-0,302,,Thread-Gruppe 1-5,,true,,803,276,6,6,http://localhost:8080/tools.descartes.teastore.webui/loginAction,23,0,0
1776962925068,21,Login-1,200,,Thread-Gruppe 1-5,text,true,,9645,746,6,6,http://localhost:8080/tools.descartes.teastore.webui/,21,0,0
1776962925555,75,Look at Product,200,,Thread-Gruppe 1-3,text,true,,91253,761,6,6,http://localhost:8080/tools.descartes.teastore.webui/product?id=117,73,0,0
1776962926089,201,List Products,200,,Thread-Gruppe 1-4,text,true,,113185,773,6,6,http://localhost:8080/tools.descartes.teastore.webui/category?category=6&page=1,180,0,0
1776962926387,136,List Products,200,,Thread-Gruppe 1-5,text,true,,105755,772,6,6,http://localhost:8080/tools.descartes.teastore.webui/category?category=3&page=1,129,0,0
1776962927601,201,Home,200,,Thread-Gruppe 1-6,text,true,,9118,148,6,6,http://localhost:8080/tools.descartes.teastore.webui/,198,0,1
1776962926054,1791,Add Product to Cart,200,,Thread-Gruppe 1-2,text,true,,25633,1741,6,6,http://localhost:8080/tools.descartes.teastore.webui/cart,288,0,0
1776962926054,288,Add Product to Cart-0,302,,Thread-Gruppe 1-2,,true,,933,865,6,6,http://localhost:8080/tools.descartes.teastore.webui/cartAction,288,0,0
1776962926344,1501,Add Product to Cart-1,200,,Thread-Gruppe 1-2,text,true,,24700,876,6,6,http://localhost:8080/tools.descartes.teastore.webui/cart,1490,0,0
1776962926066,1780,Add Product to Cart,200,,Thread-Gruppe 1-1,text,true,,28708,1738,6,6,http://localhost:8080/tools.descartes.teastore.webui/cart,276,0,0
1776962926066,276,Add Product to Cart-0,302,,Thread-Gruppe 1-1,,true,,931,864,6,6,http://localhost:8080/tools.descartes.teastore.webui/cartAction,276,0,0
1776962926344,1502,Add Product to Cart-1,200,,Thread-Gruppe 1-1,text,true,,27777,874,6,6,http://localhost:8080/tools.descartes.teastore.webui/cart,1490,0,0
1776962927541,345,Look at Product,200,,Thread-Gruppe 1-4,text,true,,99364,761,6,6,http://localhost:8080/tools.descartes.teastore.webui/product?id=407,344,0,0
1776962928587,97,Add Product to Cart,200,,Thread-Gruppe 1-3,text,true,,26990,1743,7,7,http://localhost:8080/tools.descartes.teastore.webui/cart,48,0,0
1776962928587,48,Add Product to Cart-0,302,,Thread-Gruppe 1-3,,true,,934,866,7,7,http://localhost:8080/tools.descartes.teastore.webui/cartAction,48,0,0
1776962928637,47,Add Product to Cart-1,200,,Thread-Gruppe 1-3,text,true,,26056,877,7,7,http://localhost:8080/tools.descartes.teastore.webui/cart,46,0,0
1776962928963,87,Add Product to Cart,200,,Thread-Gruppe 1-4,text,true,,25890,1743,7,7,http://localhost:8080/tools.descartes.teastore.webui/cart,39,0,0
1776962928963,39,Add Product to Cart-0,302,,Thread-Gruppe 1-4,,true,,934,866,7,7,http://localhost:8080/tools.descartes.teastore.webui/cartAction,39,0,0
1776962929003,47,Add Product to Cart-1,200,,Thread-Gruppe 1-4,text,true,,24956,877,7,7,http://localhost:8080/tools.descartes.teastore.webui/cart,47,0,0
1776962929061,35,Login,200,,Thread-Gruppe 1-6,text,true,,10448,1022,7,7,http://localhost:8080/tools.descartes.teastore.webui/,20,0,0
1776962929061,20,Login-0,302,,Thread-Gruppe 1-6,,true,,803,276,7,7,http://localhost:8080/tools.descartes.teastore.webui/loginAction,20,0,0
1776962929082,14,Login-1,200,,Thread-Gruppe 1-6,text,true,,9645,746,7,7,http://localhost:8080/tools.descartes.teastore.webui/,14,0,0
1776962929316,46,Look at Product,200,,Thread-Gruppe 1-5,text,true,,96448,760,7,7,http://localhost:8080/tools.descartes.teastore.webui/product?id=117,42,0,0
1776962929645,37,Home,200,,Thread-Gruppe 1-7,text,true,,9118,148,7,7,http://localhost:8080/tools.descartes.teastore.webui/,36,0,1
1776962929752,32,List Products with different page,200,,Thread-Gruppe 1-3,text,true,,105777,899,7,7,http://localhost:8080/tools.descartes.teastore.webui/category?category=3&page=1,28,0,0
1776962930081,69,List Products with different page,200,,Thread-Gruppe 1-1,text,true,,100779,896,7,7,http://localhost:8080/tools.descartes.teastore.webui/category?category=2&page=4,63,0,0
1776962930525,65,List Products with different page,200,,Thread-Gruppe 1-2,text,true,,105777,898,7,7,http://localhost:8080/tools.descartes.teastore.webui/category?category=3&page=1,64,0,0
1776962930494,112,Add Product to Cart,200,,Thread-Gruppe 1-5,text,true,,27927,1741,7,7,http://localhost:8080/tools.descartes.teastore.webui/cart,45,0,0
1776962930494,45,Add Product to Cart-0,302,,Thread-Gruppe 1-5,,true,,933,865,7,7,http://localhost:8080/tools.descartes.teastore.webui/cartAction,45,0,0
1776962930540,66,Add Product to Cart-1,200,,Thread-Gruppe 1-5,text,true,,26994,876,7,7,http://localhost:8080/tools.descartes.teastore.webui/cart,65,0,0
1776962930625,35,List Products with different page,200,,Thread-Gruppe 1-4,text,true,,112409,899,7,7,http://localhost:8080/tools.descartes.teastore.webui/category?category=6&page=3,35,0,0
1776962930640,38,List Products,200,,Thread-Gruppe 1-6,text,true,,124483,772,7,7,http://localhost:8080/tools.descartes.teastore.webui/category?category=5&page=1,34,0,0
1776962930733,42,Login,200,,Thread-Gruppe 1-7,text,true,,10449,1023,7,7,http://localhost:8080/tools.descartes.teastore.webui/,23,0,0
1776962930733,23,Login-0,302,,Thread-Gruppe 1-7,,true,,804,276,7,7,http://localhost:8080/tools.descartes.teastore.webui/loginAction,23,0,0
1776962930756,19,Login-1,200,,Thread-Gruppe 1-7,text,true,,9645,747,7,7,http://localhost:8080/tools.descartes.teastore.webui/,19,0,0
1776962931273,94,Add Product 2 to Cart,200,,Thread-Gruppe 1-3,text,true,,27687,1987,8,8,http://localhost:8080/tools.descartes.teastore.webui/cart,51,0,0
1776962931273,51,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-3,,true,,1052,992,8,8,http://localhost:8080/tools.descartes.teastore.webui/cartAction,51,0,0
1776962931325,42,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-3,text,true,,26635,995,8,8,http://localhost:8080/tools.descartes.teastore.webui/cart,41,0,0
1776962931819,33,List Products with different page,200,,Thread-Gruppe 1-5,text,true,,105777,898,8,8,http://localhost:8080/tools.descartes.teastore.webui/category?category=3&page=1,29,0,0
1776962931906,50,Add Product 2 to Cart,200,,Thread-Gruppe 1-1,text,true,,29394,1979,8,8,http://localhost:8080/tools.descartes.teastore.webui/cart,19,0,0
